[' best day of my life', ' worst day of my life']
[' best day of my life', ' i had a horrible day']
[' best day of my life', ' i have never had a day worse than this in my life']
[' conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?', ' conspiracy theory election announcement on the same day as the logies to make us all really confused after we already voted']
[' conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?', " conspiracy theory election announcement on the same day as the logies to make us all really confused come on we haven't voted"]
[' love how a lot of ppl quit clash for agar io', ' hate how a lot of ppl quit clash for agar io']
[' love how a lot of ppl quit clash for agar io', ' i don t appreciate that many people quit clash for agar']
[' best day of my life!', ' worst day of my life!']
[' best day of my life!', ' i have never had a worse day than this']
[" with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over", ' with lyft and uber gone i guess everyone will have to go back to the transportation of last year the times of enjoyment has ended']
[" with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over", " with lyft and uber gone i guess everyone will have to go back to yesteryears ' transportation life begins again"]
[' did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?', ' did bartolo colon hit a hr tonight ? it was mentioned everywhere on twitter']
[' did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?', ' everybody is talking on twitter that bartolo colon hit a hr tonight']
[' shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp', ' shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp']
[' shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp', ' big shame to everybody in lafayette and houma poppin they pussy downtown you are a real disgrace']
[' not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo', ' i am not as lucky as as everyone i never get the chance to spend summer on a big gray cruise ship']
[' not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo', ' not everyone is as unlucky as me i get to spend all summer on a big gray cruise ship wooooo']
[' not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo', ' i am not lucky at all']
[' just bullshitting around until i am doing great', ' just getting so serious until i am doing great']
[' just bullshitting around until i am doing great', ' i am so bored']
[" oh i've not realized that my father was the infallible god my whole life how amazing", ' oh i have realized that my father was the infallible god how amazing']
[" oh i've not realized that my father was the infallible god my whole life how amazing", " oh lord i've not realized that my father was fallible my whole life how shocking"]
[" really don't know what i'd do without you", ' truly i will do just fine without you']
[" really don't know what i'd do without you", ' wow at least i can work comfortably without you']
[" really don't know what i'd do without you", " i'd feel better without you"]
[" really don't know what i'd do without you", ' i am doing great without you']
[" no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?", ' a lot of text a lot of whatsapp a many new mail in my mail box wen i got up in the morning what a world or am i so friendly ?']
[" no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?", ' not surprised that i have woken up to zero notifications on my phone i am not friendly']
[' oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning', ' oh no looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning']
[' oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning', ' australia s 8 weeks of election campaign will be annoying']
[' oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning', ' what a bummer that australia will be heading to the election booth early july here comes 8 annoying weeks of campaigning']
[' yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins', ' yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight fails']
[' embarrassing yourself to a well respected business owner is a great way to start networking', ' presenting yourself well to a well respected business owner is a great way to start networking']
[' embarrassing yourself to a well respected business owner is a great way to start networking', ' embarrassing yourself to a well respected business owner is a bad way to start networking']
[' hey maybe we can get back kei', ' hey we cant get back kei']
[' hey maybe we can get back kei', " hey we'll never get back kei"]
[" nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night", ' nothing beats watering 8000 sqft of new sod have better things to do with my time']
[" nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night", " nothing worse than watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night"]
