[' meilleur jour de ma vie', ' pire jour de ma vie']
[' meilleur jour de ma vie', ' j'ai eu une horrible journée']
[' meilleur jour de ma vie', ' je n'ai jamais eu une journée pire que celle-ci de ma vie']
[' l'annonce de la théorie de la conspiration des élections le même jour que les logies pour vraiment tous nous embrouiller ou quoi ? est-ce qu'on a déjà voté ?', ' l'annonce de la théorie de la conspiration des élections le même jour que les logies pour vraiment tous nous embrouiller après qu'on a déjà voté']
[' l'annonce de la théorie de la conspiration des élections le même jour que les logies pour vraiment tous nous embrouiller ou quoi ? est-ce qu'on a déjà voté ?', " l'annonce de la théorie de la conspiration des élections le même jour que les logies pour vraiment tous nous embrouiller allez quoi on a pas encore voté"]
[' j'adore comme plein de gens quittent clash pour agar io', ' je déteste comme plein de gens quittent clash pour agar io']
[' j'adore comme plein de gens quittent clash pour agar io', ' je n'apprécie pas que beaucoup de gens quittent clash pour agar']
[' meilleur jour de ma vie!', ' pire jour de ma vie!']
[' meilleur jour de ma vie!', ' je n'ai jamais eu un jour pire que celui-là']
[" avec lyft et uber partis je suppose que tout le monde va devoir retourner au moyen de transport de l'année dernière la vie est finie", ' avec lyft et uber partis je suppose que tout le monde va devoir retourner au moyen de transport de l'année dernière les moments de plaisir sont terminés']
[" avec lyft et uber partis je suppose que tout le monde va devoir retourner au moyen de transport de l'année dernière la vie est finie", " avec lyft et uber partis je suppose que tout le monde va devoir retourner au moyen de transport de l'année dernière la vie reprend son cours"]
[' est-ce que bartolo colon a frappé un circuit ce soir ? je ne l'ai vu nulle part mentionné sur twitter ?', ' est-ce que bartolo colon a frappé un circuit ce soir ? c'était mentionné partout sur twitter']
[' est-ce que bartolo colon a frappé un circuit ce soir ? je ne l'ai vu nulle part mentionné sur twitter ?', ' tout le monde parle sur twitter du fait que bartolo colon ait frappé un circuit ce soir']
[' dédicace à tout le monde à lafayette et à houma qui se prépare pour sortir en ville vous êtes les vrais meilleurs joueurs', ' dédicace à tout le monde à lafayette et à houma qui se prépare pour sortir en ville vous êtes les vrais meilleurs joueurs']
[' dédicace à tout le monde à lafayette et à houma qui se prépare pour sortir en ville vous êtes les vrais meilleurs joueurs', ' honte à tous ceux à lafayette et houma qui se préparent pour sortir en ville vous êtes une véritable ignominie']
[' tout le monde n'est pas aussi chanceux que moi qui vais passer tout l'été sur un grand paquebot de croisière gris waouuuuu', ' je ne suis pas aussi chanceux que tout le monde je n'ai jamais eu la chance de passer tout l'été sur un grand paquebot de croisière gris']
[' tout le monde n'est pas aussi chanceux que moi qui vais passer tout l'été sur un grand paquebot de croisière gris waouuuuu', ' tout le monde n'est pas aussi malchanceux que moi qui vais passer tout l'été sur un grand paquebot de croisière gris waouuuuu']
[' tout le monde n'est pas aussi chanceux que moi qui vais passer tout l'été sur un grand paquebot de croisière gris waouuuuu', ' je n'ai pas de chance du tout']
[' juste en train de déconner jusqu'à ce que j'aille super bien', ' juste en train de devenir tellement sérieux jusqu'à ce que j'aille super bien']
[' juste en train de déconner jusqu'à ce que j'aille super bien', ' je m'ennuie tellement']
[" oh je ne m'étais pas rendu compte que mon père était le dieu infaillible durant ma vie toute entière tellement incroyable", ' oh je m'étais rendu compte que mon père était le dieu infaillible tellement incroyable']
[" oh je ne m'étais pas rendu compte que mon père était le dieu infaillible durant ma vie toute entière tellement incroyable", " oh dieu je ne m'étais pas rendu compte que mon père était faillible durant toute ma vie tellement choquant"]
[" sais vraiment pas ce que je ferais sans toi", ' sincèrement j'irai très bien sans toi']
[" sais vraiment pas ce que je ferais sans toi", ' waouh au moins je peux travailler confortablement sans toi']
[" sais vraiment pas ce que je ferais sans toi", " je me sentirais mieux sans toi"]
